This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
If research and development were ceased to exist , it would be much tougher to take care of the elderly as the world 's aging population is expected to increase from now till 2050 .|||4~5~Vform~
As such , many countries that have started research , new development and policies to help to ease the aging process .|||5~6~ArtOrDet~
Firstly , countries can help to ease the aging process by implementing new policy of encouraging elder employment .|||12~12~ArtOrDet~a
Although some are prejudiced towards older worker due to their work efficiency and high salary cost , there are more benefits of employing them .|||6~7~Nn~workers
Therefore , implementing new policy of encouraging elder employment will help both economically and socially for countries with aging population .|||3~3~ArtOrDet~the
It is the duty of the younger generations to display more filial piety towards their aged parents as they are the one who took care of us during our growing up days .|||21~22~Nn~ones
However , contrary to the beliefs in Asian society , it is view as " not cool " in the western society to be living with your elderly parents when they grow up .|||12~13~Vform~viewed
To prepare the growing demands of an aging population , countries can build special infrastructure , such as hospitals or apartments , cater to the elderly .|||21~22~Vform~to
This way , specialize and better care can be provided for the elderly .|||3~4~Vform~specialized
In conclusion , current research , development and policy have help to ease the aging process and prepare a country in facing the demand of an aging population .|||10~11~Vform~helped
By creating policy of encouraging elder employment , the elders in the society will be more independent and able to support themselves .|||2~2~ArtOrDet~the
The growing aged people has bring with many problems including greater pension pressure , increasing medical expenses , and the heavy burden of nursing care for the elderly and so on .|||5~6~Vform~brought
We should do the both ways to make deal with aging problem by making aging both more secure for older generations and less burdensome for younger generations .|||3~4~ArtOrDet~
The policy makers have find out many ways to ease the problem .|||4~5~Vform~found
For example , government encourage old people continue to work , and government encourage people to save for their old-age , and encourage young people to product more and so on .|||3~3~ArtOrDet~the	7~7~Vform~to	12~12~ArtOrDet~the
In this way , it can reduce the burden of the next generation and reduce the spending of government .|||18~18~ArtOrDet~the
For society , it can support the old people by building charity .|||1~1~ArtOrDet~the
Thus government should decide on what is essential and should therefore be supported by the public sector , and what should be left to individuals .|||1~1~ArtOrDet~the
However , governments ' intervention often meant huge spending on medical resources and infrastructure for the elderly , which created many other economic problems such as hindrance of the nation 's economic progress .|||27~28~Prep~to
Reducing funding on the elderly meant that the government have more capital to spend on improving their economy .|||5~6~Vt~means
On the other hand , critics of this notion have argued that with reduced government spending , less educated old folks and those who did not saved enough would be at a severe disadvantage as compared to the rest of the population .|||26~27~Vform~save
Since large amount of money is needed to support an ageing population , governments have to increase their own existing pool of resources to order to generate such amount of capital .|||1~1~ArtOrDet~a
